English,Malay
crackdown,n. (colloq.) tindakan keras terhadap sesuatu.
cracked,"a., (si.) sasau; gila."
cracker,n. mercun; biskut kering yang nipis.
crackers,a. (si.) sasau; gila.
cracking,a. (si.) bagus; amat baik.
crackle,v.t.i. berbunyi gemeresik; mendedas-dedas. -n. bunyi gemeresik; dedasan.
crackling,n. kulit garing babi panggang.
crackpot,n. (si.) orang sasau atau sewel.
cradle,n. buaian; punca asal; penyang- ga. -v.t. dukung; timang; tatang.
craft,n. pertukangan; kemahiran: (pl. craft) rakit; perahu: kapal atau kapal terbang.
craftsman,n. (pl. -men) tukang. craftsmanship n. pertukangan; kemahiran.
crafty,"a. (-ier, -iest) licik; cerdik dengan tipu muslihat; panjang akal. craftily adv. dengan licik. craftiness n. kelicikan."
crag,n. batuan terjah; batuan ceracak. craggy a- berceracak.
cram,v.t. (p.t. crammed) asak; sumbat; mentelaah secara intensif untuk pepe- riksaan.
cramp,n. kejang; batang besi bercang- kuk untuk memegang batu bata. -v.t. mengapit; menjangkar.
crampon,n. tapak berpaku yang dipasang pada kasut untuk berjalan di atas ais.
cranberry,n. kranberi; sejenis buah atau pokok beri.
crane,n. burung jenjang; burung pala; jentera pengangkut; kren. -v.t.i. memanjangkan leher untuk meninjau. crane-fly n. lalat kekeria.
cranium,"n. (pl. -ia) kranium, tempu- rung kepala; tengkorak. cranial a. berkenaan tempurung kepala atau tengkorak."
crank,n. engkol; bahagian berbentuk 'L' yang menukar gerakan ke depan ke belakang menjadi gerakan berputar. -v.t. putar. pulas dengan engkol. crankshaft n. aci engkol.
crank,n. orang berfikiran aneh. cranky a. aneh; pelik.
cranny,n. celah; retak; rekahan.
craps,n.pl. (A.S.) sejenis permainan judi yang menggunakan dua butir buah dadu.
crash,n. dentuman; nahas; kejatuhan.
crass,a. tolol; sangat bodoh.
crate,n. peti untuk isian barang; (si.) kapal terbang atau kereta buruk. - v.t.i. mengisi barang ke dalam peti.
crater,n. genahar; kawah gunung berapi.
cravat,n. tali leher pendek.
crave,v.t.i. mengidam; ketagih; kepingin; meminta bersungguh-sung- guh; merayu.
craven,a. bersifat pengecut atau pena- kut.
craving,n. idaman; ketagihan; hasrat. craw n. tembolok.
crawfish,n. udang kara laut yang besar.
crawl,v.i. merangkak; merayap; men- jalar. -n. merangkak.
crawler,n. pengampu; kaki ampu.
crayfish,n. udang krai.
crayon,"n. krayon. -v.t. menulis, melukis dengan krayon."
craze,n. kegilaan.
crazed,a. gila.
crazy,"a. (-ier, -iest) sasau; gila; (colloq.) tergila-gila. crazy paving tampalan; kaki lima yang dibuat daripada serpihan yang berbeza-beza saiznya. crazily adv. secara tergila- gila. craziness n. gila; kegilaan."
creaks,bunyi keriut. -v.i. berkeriut. creaky a. yang berkeriut.
cream,n. pati; san; inti; dadih; kepala susu; krim; warna putih kuning. -a. berwarna putih kuning. -v.t. menyari; mendadih; menyapu krim solek kepada. creamy a. seperti krim; berkrim. cream cheese keju krim; keju yang lembut.
creamery,n. (pl. creameries) kilang yang mengeluarkan mentega dan keju.
crease,n. lipatan; kedutan. -v.t.i. merenyuk; berkedut.
create,"cipta. creations, ciptaan; penciptaan. creative a. berdaya cipta; kreatif. creator n. pencipta."
creature,n. makhluk.
creche,n. tempat asuhan atau jagaan siang hari untuk bayi.
credence,n. kepercayaan; pegangan. credentials n.pl. surat akuan; tauliah. credible a. boleh dipercayai. credibly adv. dengan cara yang munasabah. credibility n. kebolehpercayaan.
credit,n. kepercayaan; penghargaan; nama baik; kredit. -v.t. (p.t. credited) percaya; dirujukkan kepada; dikieditkan. credit card kad kredit. creditworthy a. mempunyai kepercayaan kredit.
creditable,a. layak dipuji. creditably adv. dengan caia yang boleh dipuji; benar.
creditor,n. pemberi hutang.
credulous,n. mudah percaya. credulity n. sifat mudah mempercayai sesuatu atau seseorang.
creed,n. kepercayaan; pegangan.
creekr,anak sungai; teluk sempit. up the creek (si.) dalam kesusahan.
creel,n. jaras; kumbu; keranjang ikan.
creep,v.i. (p.t. crept) merayap; men- jalar. -n. rayapan; (si.) pengampu; pembodek.
creeper,n. tumbuhan menjalar.
creepy,"a. (-ier, -iest) geli-geleman; seram."
cremate,v.t. membakar mayat. cremation n. pembakaran mayat.
crematoriums,(pl. -ia) krematorium; tempat pembakaran mayat.
creme,de menthe minuman keras berasa pudina.
crenellated,a. berbaluarti. creneliation n. kebaluartian.
Creole,n. Kreol; kaum berketurunan Eropah di Hindia Barat atau di Amerika Tengah atau Selatan; dialek Kreol.
creosote,n. kreosot; sejenis minyak pengawet papan atau kayu.
crepe,n. kain atau getah berkedutan. crepe paper kertas krep. cr?pey a. berkedut.
crept,lihal creep.
crepuscular,a. senja; kabur; samar- samar; krepuskul; aktif pada waktu senja.
crescendo,adv. & n. (pl. -os) kresendo; bertambah lantang.
crescent,n. bentuk bulan sabit.
cress,n. (pokok) selada.
crest,n. jambul; puncak; lambang; gombak. crested a. berjambul; ber- lambang.
crestfallen,a. sugul; murung.
cretaceous,a. (batu) kapur.
cretin,n. kretin; orang cacat anggota dan otak kerana kekurangan honnon tiroid. cretinous a. berkaitan dengan kecacatan mental dan fizikal.
cretonne,1. kain kreton; sejenis kain yang tebal.
crevasse,n. jurang sempit yang dalam. crevice n. retak; keretakan; celah.
crew,lihat crow.
crew,anakkapal; kumpulan pekeija.
crewel,krewel; benang sulam. crewel needle jarum untuk menyulam.
crib,palung; tempat jerami makanan binatang; buaian; katil bayi; terje- mahan teks bahasa asing untuk kegunaan penuntut. -v.t.i. (p.t. cribbed) meniru.
cribbage,n. sejenis mainan yang menggunakan kad pakau.
crick,kejang; sakit leher. -v.t. tegang.
cricket,n. permainan kriket. not cricket (colloq.) tidak adil. cricketer pemain kriket.
cricket,sejenis serangga; cengkerik.
cried,past & past p. of cry.
crier,n. penangis; pencanang.
crikey,int. (si.) kata tanda rasa hairan.
crime,n. jenayah.
criminal,penjenayah; penjahat. -a. berkenaan jenayah.
criminalize,v.t. dianggap sebagai jenayah. criminilization penjenayahan.
criminology,"n. pengajian atau ilmu kejenayahan. criminologist, peng- kaji jenayah."
crimp,v.t.i. mengelim; mengeritingkan. crimson a. & n. (warna) merah tua.
cringe,v.i. mengekot; tunduk kerana takut; berasa malu atau hina.
crinkle,& v.t.i. renyuk; kedut; ronyok. crinoline n. lingkaran yang dipakai dahulu untuk mengembangkan skirt.
cripple,n. lumpuh; capik; pincang; tempang. -v.t. melumpuhkan.
crisis,(pl. crises) kegentingan; krisis; perbalahan.
crisp,"a. (-er, -est) garing; mersik; rapuh; ringkas dan tepat. -n. hirisan kentang yang digoreng. -v.t.i. men- jadi garing. crisply adv. dengan rangup; dengan pantas dan giat. crispness n. kegaringan."
crispbread,biskut rai rangup.
crisscross,corak yang silang-menyi- lang. -a. & adv. silang-menyilang. - v.l.i. membuat garis silang-menyilang.
criterion,n. (pl. -ia) ukuran; kriteria.
critic,n. pengkritik; pengulas.
critical,a. mencari salah silap; genting; kritikal. critically adv. dalam keadaan genting; bersifat mengkritik; dengan kritis.
criticism,n. kritikan.
criticize,v.t. mengkritik.
critique,n. karangan atau esei yang mengkritik.
croak,n. bunyi katak; suara garau. -v.t.i. menguak; bercakap dengan suara serak.
crochet,n. krusye; kait jarum satu.
crock,n. pasu; serpihan pasu.
crock,n. (colloq.) orang lemah atau sering sakit; kereta usang. -v.i. (colloq.) melemahkan. crock up menjadi lemah; tidak berdaya.
crockery,n. pinggan mangkuk; per- kakas dapur.
crocodile,n. buaya; barisan kanak- kanak yang berjalan berpasangan. crocodile tears pura-pura hiba.
crocus,n. (pl. -uses) sejenis pokok bunga dari bebawang.
croft,n. ladang kecil berpagar; ladang pajakan di Scotland.
crofter,tuan punya ladang kecil berpagar; petani pemajak.
croissant,croissant; roti berbentuk anak bulan.
cromlech,dolmen.
crone,n. perempuan tua.
crony,n. kuncu; kawan karib; kroni.
crook,n. kayu bercangkuk; benda bengkok; (colloq.) penjahat. -v.t. membengkok.
crooked,a. bengkok; curang. crookedly adv. dengan tidak jujur; dengan curang.
croon,v.t.i. senandung; dodoi; menya- nyi perlahan-lahan.
crop,"n. tanaman; tuaian; hasil; tem- bolok (ayam, burung, dll.); hulu (cemeti); rambut yang digunting pendek. -v.t.i. (p.t. cropped) memangkas; memotong; menuai. crop up muncul dengan tiba-tiba."
cropper,(sZ.) jatuh terhempas.
croquet,. kroket; sejenis permainan yang menggunakan bola dan pemukul.
croquette,"n. bebola atau gulungan ubi kentang, daging atau ikan yang digoreng."
crosier,n. tongkat (paderi) bishop.
cross,palang; salib; kacukan; cam- puran. -v.t.i. lintas; menyeberang; silang; kacuk. at cross purposes
salah,faham; berkonflik. cross off atau out memangkah atau memotong dengan melukis garis. on the cross menyerong. crossly adv. dengan marah. crossness n. keradangan.
crossbred,a. kacuk. cross-breed n. kacukan. cross-breeding n. penga- cukan.
crosscheck,v.t.i. menyemak silang. cross-examine v.t. memeriksa balas
crosseyed,a. juling.
crossfertilize,v.t. mensenyawakan silang; kacuk. cross-fertilization n. persenyawaan silang.
crossgrained,a. bengkeng; mudah marah.
crosspatch,n. orang yang mudah marah.
crossquestion,v.t. menyoal balas (untuk menguji jawapan yang telah diberikan).
crossreference,n. rujukan silang.
crosssection,n. keratan rentas; keratan lintang.
crossbar,n. besi palang.
crossbill,n. sejenis burung cakar.
crossbow,n. busur silang.
crosse,n. penyauk.
crossfire,n. tembak-menembak.
crossing,lintasan; penyeberangan. crossply a. (tayar) mempunyai lapisan bebenang silang-menyilang.
crossroads,simpang; persimpangan. crosswise adv. melintang.
crossword,n. teka silang kata.
crotch,n. percabangan; celah kangkang.
crotchet,n. krocet; nota dalam muzik.
crotchety,a. perengus. crotchetiness n. sifat perengus.
crouch,v.i. & n. membongkok; merunduk.
croup,n. (bahagian) punggung.
croup,n. krup; batuk yang teruk (kanak-kanak).
croupier,"n. krupier; bandar, pengaut dan pembayar wang dalam permain- an judi."
crouton,n. kepingan kecil roti bakar. crow ii. gagak. -v.i. berkokok;
crowbar,n. tuil besi; alabangka.
crowd,n. ramai (orang). -v.t.i. kerumun; asak.
crown,n. mahkota. the crown takhta kerajaan; ubun-ubun. -v.t. menabal- kan; memahkotakan; menyaluti; mencapai puncak; (si.) memukul di kepala. Crown Court Mahkamah yang membicarakan kes kriminal di England dan Wales. Crown Prince putera mahkota.
crucial,genting; sangat genting. cru- ciality ti. kegentingan.
crucible,mangkuk pijar; periuk pelebur logam.
crucifix,n. patung salib.
crucifixion,n. penyaliban.
cruciform,a. berbentuk salib.
crucify,v.t. menyalib.
crude,"a. (-er, -est) mentah; kasar. crudely adv. dengan cara yang kasar. crudity n. kekasaran."
cruel,"a. (crueller, cruellest) kejam; zalim. cruelly adv. dengan kejam; dengan zalim. cruelty, kekejaman; kezaliman."
cruet,"n. set bekas minyak, cuka, garam, dll."
cruise,v.i. berlayar untuk bersuka-suka atau meronda. -n. pelayaran untuk bersuka-suka.
cruiser,n. kapal perang yang laju; bot berkabin.
crumb,"n. serdak; cebisan; remah- remah; serpihan (roti, kuih, dll.)."
crumble,"v.t.i. pecah; hancur. crumbly a. mudah hancur; rapuh. crummy, (-ier, -iest) kotor; selekeh. crump, bunyi berdebap. -v.t. mem- buat bunyi berdebap."
crumpet,krumpet; sejenis kuih leper yang dibakar dan disapu mentega sebelum dimakan.
crumple,v.t.i. merenyuk; rebah.
crunch,v.t . kunyah; berkerap-kerup; berderap-derap. -n. bunyi derap.
crunchy,a. rangup.
crupper,"n. ambin ekor; buntut (kuda). crusade n. perang salib; kempen menentang sesuatu kejahatan. -v.i. mengambil bahagian dalam perang salib. crusader n. salibi, soldadu Kristian dalam perang salib."
crush,v.t.i. memerah; menghancur- kan; merenyukkan. -n. orang ramai yang berasak-asak; perahan minuman daripada buah-buahan; (si.) rasa angau; cinta.
crust,n. kerak; kulit (keras).
crustacean,"n. krustasia; binatang ber- kulit keras (seperti ketam, dll.)."
crusty,"a. (-ier, -iest) berkerak; kasar (perangai)."
crutch,n. lopang; tongkat ketiak.
crux,n. (pl. cruxes) perkara utama.
cry,"v. (crying, cried) mengeluarkan air mata; menjerit atau memekik dengan kuat."
cry,off informal gagal menepati perancangan. -n. (pl. cries) tempoh masa menangis; jeritan alau pekikan kuat; laungan seekor binatang.
cryogenics,n. kriogen; cabang ilmu fizik berkaitan dengan suhu rendah. cryogenic a. berkenaan kriogen atau suhu rendah.
crypt,n. bilik di bawah lantai gereja.
cryptic,a. rahsia; ada makna tersem- * bunyi. cryptically adv. secara rahsia; dengan tersembunyi.
cryptogram,n. kriptogram; tulisan dengan makna tersembunyi.
cryptography,n. kriptografi; peng- kajian tentang tulisan rahsia. cryptographer n. ahli kaji tulisan rahsia.
crystal,n. hablur; kristal.
crystalline,a. berhablur; seperti kristal; jernih.
crystallize,v.t.i. menghablur; mem- perjelas. crystallized fruit halwa buah. crystallizationn. penghabluran.
cu.,abbr. cubic padu.
cub,"n. anak binatang (seperti harimau, dll.), cub (Scout) anak serigala; ahli Pengakap."
cubbyhole,n. ruang; petak kecil.
cube,n. kiub; kubus; kuasa tiga. -v.t. memotong kepada bentuk kiub-kiub kecil. cube root punca kuasa tiga.
cubic,a. berbentuk kiub; kubus. cubic centimetre sentimeter padu; isi padu kubus dengan sisi 1 cm.
cubical,a. berbentuk kiub.
cubicle,n. petak kecil (daripada ruang yang lebih luas).
cubism,n. kubisme; stail lukisan berbentuk kiub. cubist n. pelukis stail ini.
cuckold,n. suami yang isterinya ber- zina; dayus. -v.t. menduakan.
cuckoo,n. burung but-but; burung tekukur.
cucumber,n. mcntimun; timun.
cud,"n. mamahan; makanan lembu, dll., yang dikeluarkan dari perut dan dimamah atau dikunyah semula."
cuddle,"v.t.i. memeluk; mendakap; membelai. -n. pelukan; dakapan; belaian. cuddlesome, cuddly adjs. sedap untuk dipeluk."
cudgel,n. belantan; tongkat (pemu- kul). -v.t. (p.t. cudgelled) membela-
sah,memukul. cudgel one's brains fikir bersungguh-sungguh tentang sesuatu.
cue,n. & v.t. (pres.p. cueing) kiu; tanda. -v.t. memberi kiu.
cue,kiu; kayu penjolok bola biliard. cuff n. manset; pergelangan tangan baju. -v.t. tampar; sepak; tempeleng. cuff-link n. kafling; kancing pergelangan tangan baju. off the cuff tanpa persediaan.
cuirass,"n. kuiras; baju zirah, bcsi. cuisine n. stail atau gaya masakan. cul-de-sac n. jalan mati."
culinary,a. masak-memasak.
cull,v.t. memetik (bunga); pilih; menakai. -n. penakaian.
culminate,v.i. memuncak; berakhir dengan. culmination n. kemuncak.
culottes,n.pl. kulot; seluar wamta yang berbentuk skirt.
culpable,a. patut dicela atau diper- salahkan; bersalah.
culprit,n. pesalah; orang yang telah membuat salah.
cult,n. kultus; ikutan; pemujaan. cultivar n. pelbagai hasil tanaman. cultivate v.t. rnengusahakan; pupuk; pelihara; tanam. cultivation n. pemu- pukan; pemeliharaan; penanaman. cultivator n. petani; peladang.
culture,ri. kebudayaan; pembiakan. -v.t. mengkultur; pembiakan buatan. cultural a. budaya. culturally adv. dari segi budaya.
cultured,a. beradab; bersopan. cultured pearl mutiara biakan.
culvert,"n. pembentung; parit di bawah jalan, dsb."
cum,"prep, (combined with) meng- gabungkan."
cumber,v.t. menghalang; menghambat. cumbersome a. sukar untuk dibawa atau digunakan; menyusahkan.
cumin,n. pokokjintan putih; jintan putih. cummerbund n. setagen; tali pengikat pinggang.
cumulative,a. bertambah banyak; kumulatif. cumulatively adv. secara berganda; secara kumulatif.
cumulus,n.(pl. -li) awan kumulus.
cuneiform,"n. tulisan pepaku (pada batu, dsb.)."
cunning,a. cerdik; pintar; licik. -n. kecerdikan; kepintaran.
cup,n. cawan; piala. -v.t. (p.t. cupped) membuat seperti bentuk cawan; merangkap; terkandung seperti di dalam cawan. cupful n. (pl. cupfuls) secawan penuh.
cupboard,n. almari; gerobok.
cupidih,n. tamak haloba; kerakusan.
cupola,n. kubah kecil.
cupreous,a. seakan-akan tembaga.
cupric,a. kuprik; berkenaan tembaga. cur n. anjing geladak; anjing koyok.
curable,a. boleh diubati.
curacao,n. minuman keras berperasa oren.
curacy,n. jawatan paderi pembantu.
curare,n. kurare; racun sayur yang menyebabkan lumpuh.
curate,n. paderi pembantu.
curative,"a. berkhasiat; menyembuhkan. curator n. kurator; pegawai penyeleng- gara khazanah (di muzium, dsb.)."
curb,n. kawalan. -v.t. mengawal.
curd,n. dadih; tairu.
curdle,v. mendadih atau menjadi dadih atau ketul-ketul.
cure,"v.t. ubati; pulih; sembuh; awet (misalnya, bubuh garam pada ikan dan keringkan). -n. ubat; pengu- batan; pemulihan."
curette,"n. kuret; alat pengikis, -v.t. mengikis dengan kuret. curretage n. pengkuretan."
curfew,n. perintah berkurung.
curio,n. (pl. -os) benda aneh yang menarik.
curiosity,"a. perasaan ingin tahu; benda yang aneh, pelik atau ajaib."
curious,a. ingin tahu; pelik. curiously adv. dengan rasa ingin tahu. curiousness n. keadaan ingin tahu.
curium,n. unsur radioaktif buatan.
curl,v.t.i. memintal; ikal. -n. pintal- an; rambut ikal; keriting.
curler,n. alat penggulung.
curlew,n. burung kendi.
curlicue,n. gelungan hiasan atau pintalan.
curling,n. sejenis permainan golek bola di atas ais.
curly,"a. (-ier, -iest) keriting; ikal."
curmudgeon,n. perengus; pemarah.
